2018-10-13 14:25:55 [book.spiders.jd] WARNING: {'b_cate': '小说', 's_href': 'https://list.jd.com/1713-3258-3310.html', 's_cate': '宫廷', 'book_img': 'https://img10.360buyimg.com/n7/jfs/t1090/200/5743704/1006992/f7b5605b/54dace96N7afbb49d.jpg', 'book_name': '后宫·甄嬛传4', 'book_author': ['流潋紫'], 'book_press': '浙江文艺出版社', 'book_publish_date': '2015-01', 'book_sku': '11614820', 'book_price': '23.30'}
2018-10-13 14:25:55 [book.spiders.jd] WARNING: {'b_cate': '小说', 's_href': 'https://list.jd.com/1713-3258-3303.html', 's_cate': '外国小说', 'book_img': 'https://img10.360buyimg.com/n7/jfs/t3715/66/1895635005/167409/c8a0c796/583408d8N807dd142.jpg', 'book_name': '人间失格', 'book_author': ['太宰治'], 'book_press': '武汉出版社', 'book_publish_date': '2011-12', 'book_sku': '10884795', 'book_price': '15.60'}
2018-10-13 14:25:55 [book.spiders.jd] WARNING: {'b_cate': '小说', 's_href': 'https://list.jd.com/1713-3258-3308.html', 's_cate': '军事', 'book_img': 'https://img10.360buyimg.com/n7/jfs/t346/334/1317536626/298584/cc2233d3/5435fcf4Nc0e3fe21.jpg', 'book_name': '狼群（下）', 'book_author': ['刺血'], 'book_press': '湖南文艺出版社', 'book_publish_date': '2014-10', 'book_sku': '11556050', 'book_price': '24.10'}
2018-10-13 14:25:55 [book.spiders.jd] WARNING: {'b_cate': '小说', 's_href': 'https://list.jd.com/1713-3258-3310.html', 's_cate': '宫廷', 'book_img': 'https://img12.360buyimg.com/n7/jfs/t3097/342/1097891300/838586/11a48639/57c6a544Nf6fe651d.jpg', 'book_name': '掌家娘子', 'book_author': ['云霓'], 'book_press': '重庆出版社', 'book_publish_date': '2016-09', 'book_sku': '12027602', 'book_price': '42.10'}
2018-10-13 14:25:55 [book.spiders.jd] WARNING: {'b_cate': '小说', 's_href': 'https://list.jd.com/1713-3258-3308.html', 's_cate': '军事', 'book_img': 'https://img12.360buyimg.com/n7/jfs/t3292/53/3885062786/490858/9a7f41b7/57fda1d8Nb969bc79.jpg', 'book_name': '化谍', 'book_author': ['谭谈'], 'book_press': '译林出版社', 'book_publish_date': '2016-10', 'book_sku': '11986627', 'book_price': '14.00'}
2018-10-13 14:25:55 [book.spiders.jd] WARNING: {'b_cate': '小说', 's_href': 'https://list.jd.com/1713-3258-3308.html', 's_cate': '军事', 'book_img': 'https://img10.360buyimg.com/n7/jfs/t2440/66/1430587743/793929/fc7a35fc/569ee650N163ec863.jpg', 'book_name': '破绽', 'book_author': ['刘天壮'], 'book_press': '译林出版社', 'book_publish_date': '2015-12', 'book_sku': '11863460', 'book_price': '14.40'}
2018-10-13 14:25:55 [book.spiders.jd] WARNING: {'b_cate': '小说', 's_href': 'https://list.jd.com/1713-3258-3307.html', 's_cate': '武侠', 'book_img': 'https://img12.360buyimg.com/n7/jfs/t23689/303/333161931/126932/b0fd30cc/5b2cb892N96add97a.jpg', 'book_name': '侠隐', 'book_author': ['张北海'], 'book_press': '上海人民出版社', 'book_publish_date': '2018-06', 'book_sku': '12387622', 'book_price': '41.00'}
2018-10-13 14:25:55 [book.spiders.jd] WARNING: {'b_cate': '小说', 's_href': 'https://list.jd.com/1713-3258-3308.html', 's_cate': '军事', 'book_img': 'https://img14.360buyimg.com/n7/18542/97231aad-d853-4578-811e-ee3c0ff81ffb.jpg', 'book_name': '秘密战', 'book_author': ['柯兴'], 'book_press': '江西教育出版社', 'book_publish_date': '2009-11', 'book_sku': '10204084', 'book_price': '18.70'}
2018-10-13 14:25:55 [book.spiders.jd] WARNING: {'b_cate': '小说', 's_href': 'https://list.jd.com/1713-3258-3298.html', 's_cate': '中国近现代小说', 'book_img': 'https://img14.360buyimg.com/n7/12428/7a5c409e-53fd-4623-8738-0c2f1a359be5.jpg', 'book_name': '秦腔', 'book_author': ['贾平凹'], 'book_press': '作家出版社', 'book_publish_date': '2008-11', 'book_sku': '10096744', 'book_price': '29.30'}
2018-10-13 14:25:55 [book.spiders.jd] WARNING: {'b_cate': '小说', 's_href': 'https://list.jd.com/1713-3258-3308.html', 's_cate': '军事', 'book_img': 'https://img14.360buyimg.com/n7/15257/408eed4c-811f-4f6d-884f-003a7bbccf02.jpg', 'book_name': '最后的99天', 'book_author': ['张策', '周燕妮'], 'book_press': '作家出版社', 'book_publish_date': '2009-09', 'book_sku': '10455954', 'book_price': '8.00'}
2018-10-13 14:25:55 [book.spiders.jd] WARNING: {'b_cate': '小说', 's_href': 'https://list.jd.com/1713-3258-3310.html', 's_cate': '宫廷', 'book_img': 'https://img10.360buyimg.com/n7/jfs/t1039/190/140965789/102021/ee4b4875/55027d68N43ba1e85.jpg', 'book_name': '吉时医到', 'book_author': ['云霓'], 'book_press': '重庆出版社', 'book_publish_date': '2015-03', 'book_sku': '11662345', 'book_price': '42.10'}
2018-10-13 14:25:55 [book.spiders.jd] WARNING: {'b_cate': '小说', 's_href': 'https://list.jd.com/1713-3258-3307.html', 's_cate': '武侠', 'book_img': 'https://img14.360buyimg.com/n7/jfs/t23761/251/1020810319/173488/92187de1/5b4c6f52N1d67b062.jpg', 'book_name': '一叶秋', 'book_author': ['张大春'], 'book_press': '九州出版社', 'book_publish_date': '2018-07', 'book_sku': '12380019', 'book_price': '33.00'}
2018-10-13 14:25:55 [book.spiders.jd] WARNING: {'b_cate': '小说', 's_href': 'https://list.jd.com/1713-3258-3311.html', 's_cate': '社会', 'book_img': 'https://img11.360buyimg.com/n7/jfs/t21823/67/116452440/407068/a6c37b9c/5afd14bbN9a87e0c9.jpg', 'book_name': '太年轻', 'book_author': ['加·泽文'], 'book_press': '江苏文艺出版社', 'book_publish_date': '2018-05', 'book_sku': '12344911', 'book_price': '37.70'}
2018-10-13 14:25:55 [book.spiders.jd] WARNING: {'b_cate': '小说', 's_href': 'https://list.jd.com/1713-3258-3308.html', 's_cate': '军事', 'book_img': 'https://img12.360buyimg.com/n7/jfs/t1828/33/1349309666/434239/b68a875c/55e51b57Nd6c4d190.jpg', 'book_name': '瞒天过海', 'book_author': ['杨东'], 'book_press': '译林出版社', 'book_publish_date': '2015-09', 'book_sku': '11762622', 'book_price': '16.60'}
2018-10-13 14:25:55 [book.spiders.jd] WARNING: {'b_cate': '小说', 's_href': 'https://list.jd.com/1713-3258-3297.html', 's_cate': '中国当代小说', 'book_img': 'https://img12.360buyimg.com/n7/18913/607f3d85-38a8-40f9-9634-a2a8e7248690.jpg', 'book_name': '人生', 'book_author': ['路遥'], 'book_press': '北京十月文艺出版社', 'book_publish_date': '2012-03', 'book_sku': '10960247', 'book_price': '18.80'}
2018-10-13 14:25:55 [book.spiders.jd] WARNING: {'b_cate': '小说', 's_href': 'https://list.jd.com/1713-3258-3310.html', 's_cate': '宫廷', 'book_img': 'https://img10.360buyimg.com/n7/jfs/t2707/188/505807733/1881907/4ce7702a/5716fd4eNfda8a7c3.jpg', 'book_name': '卿本妖娆', 'book_author': ['田小璃'], 'book_press': '百花文艺出版社', 'book_publish_date': '2016-04', 'book_sku': '11905640', 'book_price': '20.50'}
2018-10-13 14:25:55 [book.spiders.jd] WARNING: {'b_cate': '小说', 's_href': 'https://list.jd.com/1713-3258-3313.html', 's_cate': '乡土', 'book_img': 'https://img12.360buyimg.com/n7/18990/712b0897-2c62-4944-8e7c-9bdc181f2deb.jpg', 'book_name': '麦河', 'book_author': ['关仁山'], 'book_press': '作家出版社', 'book_publish_date': '2010-10', 'book_sku': '10330827', 'book_price': '33.80'}
2018-10-13 14:25:55 [book.spiders.jd] WARNING: {'b_cate': '小说', 's_href': 'https://list.jd.com/1713-3258-3307.html', 's_cate': '武侠', 'book_img': 'https://img14.360buyimg.com/n7/jfs/t16831/75/775547805/103145/df69547d/5aa62b60N2ae87a96.jpg', 'book_name': '精美钥匙扣赠品', 'book_author': [], 'book_press': '未知', 'book_publish_date': '2014-12', 'book_sku': '26124066309', 'book_price': '5.00'}
2018-10-13 14:25:55 [book.spiders.jd] WARNING: {'b_cate': '小说', 's_href': 'https://list.jd.com/1713-3258-3311.html', 's_cate': '社会', 'book_img': 'https://img14.360buyimg.com/n7/jfs/t8977/104/1447068720/660723/fe40c5ae/59ba4e8bN6f760eb9.jpg', 'book_name': '世界的凛冬（通宵小说大师肯·福莱特世纪三部曲，全球读者平均三个通宵读完！以恢宏辽阔、荡气回肠的故事全景展现整个20世纪人类史。）', 'book_author': ['肯.福莱特 Ken Follett'], 'book_press': '江苏凤凰文艺出版社', 'book_publish_date': '2017-03', 'book_sku': '12123414', 'book_price': '95.70'}
2018-10-13 14:25:55 [book.spiders.jd] WARNING: {'b_cate': '小说', 's_href': 'https://list.jd.com/1713-3258-3314.html', 's_cate': '职场', 'book_img': 'https://img14.360buyimg.com/n7/16098/36ca3e45-f736-4e4a-a11b-82ea52c8bc35.jpg', 'book_name': '原罪', 'book_author': ['沐岩'], 'book_press': '作家出版社', 'book_publish_date': '2010-07', 'book_sku': '10176494', 'book_price': '24.00'}
2018-10-13 14:25:55 [book.spiders.jd] WARNING: {'b_cate': '小说', 's_href': 'https://list.jd.com/1713-3258-3312.html', 's_cate': '都市', 'book_img': 'https://img13.360buyimg.com/n7/jfs/t11386/4/792871717/209356/fda273bb/59f93132N82c6e598.jpg', 'book_name': '从未走远', 'book_author': ['余红'], 'book_press': '作家出版社', 'book_publish_date': '2017-11', 'book_sku': '12217623', 'book_price': '31.50'}
